interaction_id,timestamp,department,user_role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact,timestamp_seconds,response_time_sec,efficiency_score,confidence_norm,impact_score,low_confidence_flag,high_impact_flag,slow_response_flag,low_feedback_flag,risk_score,risk_level
INT-100061,2025-11-23 08:13:31.852049,HR,Analyst,What is customer churn rate?,Finance,Profit Margin,Descriptive,0.93,410,4.0,Low,,0.41,0.7092198581560284,0.9393939393939394,1.0,0,0,0,0,0.0,Low Risk
INT-100062,2026-02-02 07:33:31.852051,Operations,Intern,Which campaign had highest ROI?,Revenue,Conversion Rate,Predictive,0.81,250,1.0,High,,0.25,0.8,0.8181818181818182,3.0,0,1,0,1,0.4,Medium Risk
INT-100063,2026-01-08 07:50:31.852052,Marketing,Analyst,Forecast next quarter revenue,Sales,Conversion Rate,Trend Analysis,0.87,1668,4.0,Medium,,1.668,0.3748125937031484,0.8787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100064,2025-09-03 06:50:31.852054,Marketing,Intern,Which campaign had highest ROI?,Customer,ROI,Trend Analysis,0.87,1209,2.0,Medium,,1.209,0.4526935264825713,0.8787878787878788,2.0,0,0,0,1,0.1,Low Risk
INT-100066,2025-07-27 17:45:31.852058,Marketing,Executive,Show monthly revenue trend,Sales,Conversion Rate,Trend Analysis,0.65,1274,5.0,Low,,1.274,0.4397537379067722,0.6565656565656566,1.0,0,0,0,0,0.0,Low Risk
INT-100067,2025-09-24 08:28:31.852060,Marketing,Analyst,Compare sales performance by region,Marketing,Conversion Rate,Trend Analysis,0.86,353,1.0,Medium,,0.353,0.7390983000739099,0.8686868686868687,2.0,0,0,0,1,0.1,Low Risk
INT-100068,2025-08-05 21:19:31.852062,HR,Analyst,Forecast next quarter revenue,Revenue,Profit Margin,Trend Analysis,0.82,781,5.0,Medium,,0.781,0.5614823133071308,0.8282828282828283,2.0,0,0,0,0,0.0,Low Risk
INT-100069,2025-10-15 19:35:31.852064,HR,Intern,Compare sales performance by region,Sales,Profit Margin,Trend Analysis,0.61,987,4.0,Low,,0.987,0.5032712632108707,0.6161616161616161,1.0,0,0,0,0,0.0,Low Risk
INT-100070,2025-07-14 21:23:31.852066,Sales,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.68,990,3.0,Medium,,0.99,0.5025125628140703,0.686868686868687,2.0,0,0,0,0,0.0,Low Risk
INT-100071,2025-09-09 17:18:31.852068,Operations,Analyst,Compare sales performance by region,Finance,ROI,Predictive,0.7,2381,4.0,High,,2.381,0.29577048210588586,0.7070707070707071,3.0,0,1,1,0,0.5,Medium Risk
INT-100072,2026-01-30 02:40:31.852069,Operations,Intern,Forecast next quarter revenue,Customer,ROI,Descriptive,0.63,2467,4.0,Medium,,2.467,0.2884338044418806,0.6363636363636364,2.0,0,0,1,0,0.2,Low Risk
INT-100073,2025-09-07 04:19:31.852071,Marketing,Analyst,Forecast next quarter revenue,Finance,Profit Margin,Trend Analysis,0.74,362,5.0,High,,0.362,0.7342143906020557,0.7474747474747475,3.0,0,1,0,0,0.3,Medium Risk
INT-100074,2025-03-18 22:39:31.852073,Operations,Analyst,Forecast next quarter revenue,Revenue,Profit Margin,Trend Analysis,0.61,1170,5.0,High,,1.17,0.4608294930875576,0.6161616161616161,3.0,0,1,0,0,0.3,Medium Risk
INT-100075,2025-09-13 15:55:31.852075,Marketing,Analyst,Which campaign had highest ROI?,Finance,Revenue,Trend Analysis,0.82,847,4.0,High,,0.847,0.5414185165132648,0.8282828282828283,3.0,0,1,0,0,0.3,Medium Risk
INT-100076,2025-05-06 15:57:31.852077,Sales,Manager,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.68,1725,5.0,Medium,,1.725,0.36697247706422015,0.686868686868687,2.0,0,0,0,0,0.0,Low Risk
INT-100078,2025-06-16 02:17:31.852081,HR,Executive,Forecast next quarter revenue,Marketing,Revenue,Trend Analysis,0.96,888,3.0,Medium,,0.888,0.5296610169491526,0.9696969696969697,2.0,0,0,0,0,0.0,Low Risk
INT-100079,2025-07-01 10:14:31.852083,HR,Executive,Compare sales performance by region,Sales,Churn Rate,Predictive,0.8,2362,2.0,High,,2.362,0.297441998810232,0.8080808080808082,3.0,0,1,1,1,0.6,Medium Risk
INT-100080,2025-07-13 16:58:31.852084,Operations,Intern,Compare sales performance by region,Revenue,Profit Margin,Descriptive,0.7,1722,4.0,Low,,1.722,0.36737692872887584,0.7070707070707071,1.0,0,0,0,0,0.0,Low Risk
INT-100082,2025-04-15 09:43:31.852088,Operations,Executive,Which campaign had highest ROI?,Marketing,Profit Margin,Trend Analysis,0.68,2247,2.0,Medium,,2.247,0.3079765937788728,0.686868686868687,2.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100083,2025-10-03 10:29:31.852090,Operations,Executive,Compare sales performance by region,Revenue,Revenue,Predictive,0.63,1372,3.0,Low,,1.372,0.4215851602023609,0.6363636363636364,1.0,0,0,0,0,0.0,Low Risk
INT-100084,2025-08-16 06:22:31.852092,Sales,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.61,322,1.0,Medium,,0.322,0.75642965204236,0.6161616161616161,2.0,0,0,0,1,0.1,Low Risk
INT-100085,2025-03-03 01:16:31.852093,Sales,Executive,Which campaign had highest ROI?,Marketing,Revenue,Descriptive,0.97,1003,5.0,Low,,1.003,0.4992511233150274,0.9797979797979798,1.0,0,0,0,0,0.0,Low Risk
INT-100087,2025-06-09 21:33:31.852097,Sales,Intern,Show monthly revenue trend,Finance,Profit Margin,Descriptive,0.91,262,3.0,High,,0.262,0.7923930269413629,0.9191919191919192,3.0,0,1,0,0,0.3,Medium Risk
INT-100088,2025-07-20 08:29:31.852099,HR,Analyst,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.98,932,3.0,Medium,,0.932,0.5175983436853002,0.98989898989899,2.0,0,0,0,0,0.0,Low Risk
INT-100090,2025-08-09 22:38:31.852102,Finance,Executive,Which campaign had highest ROI?,Sales,ROI,Predictive,0.89,1147,2.0,Low,,1.147,0.46576618537494174,0.898989898989899,1.0,0,0,0,1,0.1,Low Risk
INT-100091,2025-03-04 01:52:31.852105,Sales,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Descriptive,0.87,2464,5.0,Medium,,2.464,0.28868360277136257,0.8787878787878788,2.0,0,0,1,0,0.2,Low Risk
INT-100092,2026-02-04 13:38:31.852107,Finance,Manager,Compare sales performance by region,Revenue,ROI,Descriptive,0.73,678,3.0,Low,,0.678,0.5959475566150179,0.7373737373737373,1.0,0,0,0,0,0.0,Low Risk
INT-100093,2025-09-29 07:54:31.852109,Finance,Executive,Compare sales performance by region,Customer,Profit Margin,Trend Analysis,0.64,1337,4.0,High,,1.337,0.42789901583226364,0.6464646464646465,3.0,0,1,0,0,0.3,Medium Risk
INT-100094,2025-06-19 01:53:31.852111,Sales,Manager,Forecast next quarter revenue,Marketing,Profit Margin,Trend Analysis,0.82,2196,4.0,High,,2.196,0.31289111389236546,0.8282828282828283,3.0,0,1,1,0,0.5,Medium Risk
INT-100095,2025-12-04 18:05:31.852113,Finance,Executive,What is customer churn rate?,Revenue,ROI,Descriptive,0.82,1603,4.0,High,,1.603,0.38417210910487903,0.8282828282828283,3.0,0,1,0,0,0.3,Medium Risk
INT-100098,2025-05-01 15:14:31.852119,Marketing,Manager,What is customer churn rate?,Sales,Revenue,Predictive,0.87,2154,5.0,High,,2.154,0.31705770450221943,0.8787878787878788,3.0,0,1,1,0,0.5,Medium Risk
INT-100099,2025-04-27 05:08:31.852121,Sales,Analyst,Compare sales performance by region,Revenue,Profit Margin,Predictive,0.82,797,2.0,Low,,0.797,0.5564830272676683,0.8282828282828283,1.0,0,0,0,1,0.1,Low Risk
INT-100100,2025-12-11 10:29:31.852123,HR,Manager,Which campaign had highest ROI?,Customer,Profit Margin,Trend Analysis,0.67,1902,3.0,Low,,1.902,0.34458993797381116,0.6767676767676768,1.0,0,0,0,0,0.0,Low Risk
INT-100101,2026-02-03 05:08:31.852124,Sales,Manager,Forecast next quarter revenue,Revenue,Conversion Rate,Descriptive,0.83,2376,3.0,High,,2.376,0.2962085308056872,0.8383838383838383,3.0,0,1,1,0,0.5,Medium Risk
INT-100103,2025-05-04 04:09:31.852128,Marketing,Executive,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.79,769,4.0,Medium,,0.769,0.5652911249293385,0.797979797979798,2.0,0,0,0,0,0.0,Low Risk
INT-100106,2025-11-29 16:40:31.852134,Finance,Manager,Forecast next quarter revenue,Customer,Revenue,Trend Analysis,0.78,886,4.0,Medium,,0.886,0.5302226935312832,0.787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100107,2025-09-29 15:03:31.852135,HR,Manager,Compare sales performance by region,Finance,Profit Margin,Descriptive,0.84,2238,5.0,Medium,,2.238,0.30883261272390367,0.8484848484848485,2.0,0,0,1,0,0.2,Low Risk
INT-100109,2025-10-22 18:54:31.852139,Finance,Executive,What is customer churn rate?,Revenue,Conversion Rate,Trend Analysis,0.79,1726,5.0,Medium,,1.726,0.36683785766691124,0.797979797979798,2.0,0,0,0,0,0.0,Low Risk
INT-100110,2025-06-08 19:38:31.852141,Sales,Manager,Compare sales performance by region,Marketing,Profit Margin,Descriptive,0.63,1482,4.0,High,,1.482,0.40290088638195,0.6363636363636364,3.0,0,1,0,0,0.3,Medium Risk
INT-100111,2025-09-20 08:36:31.852143,Finance,Executive,Compare sales performance by region,Customer,ROI,Predictive,0.67,2425,5.0,High,,2.425,0.29197080291970806,0.6767676767676768,3.0,0,1,1,0,0.5,Medium Risk
INT-100112,2025-09-11 02:28:31.852145,Operations,Executive,What is customer churn rate?,Finance,ROI,Descriptive,0.73,1121,1.0,Medium,,1.121,0.47147571900047147,0.7373737373737373,2.0,0,0,0,1,0.1,Low Risk
INT-100113,2025-10-24 12:42:31.852146,Finance,Intern,Compare sales performance by region,Sales,Churn Rate,Predictive,0.76,1541,4.0,Low,,1.541,0.39354584809130266,0.7676767676767677,1.0,0,0,0,0,0.0,Low Risk
INT-100114,2025-07-22 04:27:31.852148,Sales,Analyst,Compare sales performance by region,Revenue,Revenue,Descriptive,0.83,1889,2.0,Medium,,1.889,0.3461405330564209,0.8383838383838383,2.0,0,0,0,1,0.1,Low Risk
INT-100115,2025-08-10 08:09:31.852150,Operations,Analyst,Forecast next quarter revenue,Finance,Conversion Rate,Descriptive,0.94,563,2.0,Low,,0.563,0.6397952655150352,0.9494949494949495,1.0,0,0,0,1,0.1,Low Risk
INT-100116,2025-11-12 05:51:31.852152,Marketing,Analyst,Show monthly revenue trend,Sales,Churn Rate,Trend Analysis,0.66,1278,5.0,Medium,,1.278,0.43898156277436345,0.6666666666666667,2.0,0,0,0,0,0.0,Low Risk
INT-100117,2025-07-28 13:18:31.852157,Finance,Intern,What is customer churn rate?,Customer,Profit Margin,Predictive,0.61,1267,4.0,,,1.267,0.4411116012351125,0.6161616161616161,,0,0,0,0,0.0,Low Risk
INT-100118,2025-09-01 06:20:31.852159,Sales,Intern,Forecast next quarter revenue,Customer,Conversion Rate,Trend Analysis,0.78,2230,2.0,Medium,,2.23,0.30959752321981426,0.787878787878788,2.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100119,2025-08-23 18:07:31.852161,Marketing,Analyst,Show monthly revenue trend,Finance,Revenue,Descriptive,0.77,2261,3.0,Low,,2.261,0.306654400490647,0.7777777777777778,1.0,0,0,1,0,0.2,Low Risk
INT-100121,2025-05-19 11:15:31.852164,HR,Intern,Compare sales performance by region,Customer,ROI,Descriptive,0.92,1706,5.0,Low,,1.706,0.36954915003695493,0.9292929292929294,1.0,0,0,0,0,0.0,Low Risk
INT-100122,2025-05-08 04:02:31.852166,Operations,Intern,Forecast next quarter revenue,Finance,Churn Rate,Descriptive,0.91,817,1.0,Low,,0.817,0.5503577325261421,0.9191919191919192,1.0,0,0,0,1,0.1,Low Risk
INT-100124,2025-07-01 10:29:31.852170,Sales,Analyst,Which campaign had highest ROI?,Customer,Conversion Rate,Predictive,0.96,1541,3.0,Medium,,1.541,0.39354584809130266,0.9696969696969697,2.0,0,0,0,0,0.0,Low Risk
INT-100125,2025-03-27 11:10:31.852172,HR,Analyst,Forecast next quarter revenue,Customer,Revenue,Predictive,0.64,2182,4.0,Low,,2.182,0.3142677561282213,0.6464646464646465,1.0,0,0,1,0,0.2,Low Risk
INT-100126,2025-06-15 19:20:31.852173,Operations,Intern,Show monthly revenue trend,Marketing,Conversion Rate,Predictive,0.85,1814,4.0,Low,,1.814,0.35536602700781805,0.8585858585858586,1.0,0,0,0,0,0.0,Low Risk
INT-100128,2025-09-12 12:46:31.852177,Operations,Intern,What is customer churn rate?,Finance,Conversion Rate,Descriptive,0.87,562,5.0,Medium,,0.562,0.6402048655569782,0.8787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100129,2025-04-05 03:35:31.852180,Operations,Manager,Forecast next quarter revenue,Finance,Churn Rate,Trend Analysis,0.7,1319,3.0,High,,1.319,0.43122035360068994,0.7070707070707071,3.0,0,1,0,0,0.3,Medium Risk
INT-100130,2025-11-24 04:33:31.852181,Finance,Intern,Compare sales performance by region,Sales,ROI,Trend Analysis,0.73,1263,4.0,Low,,1.263,0.44189129474149363,0.7373737373737373,1.0,0,0,0,0,0.0,Low Risk
INT-100131,2025-03-26 08:24:31.852183,Operations,Executive,Compare sales performance by region,Sales,Conversion Rate,Descriptive,0.81,306,3.0,High,,0.306,0.7656967840735068,0.8181818181818182,3.0,0,1,0,0,0.3,Medium Risk
INT-100132,2025-04-12 07:22:31.852186,HR,Analyst,Which campaign had highest ROI?,Sales,ROI,Trend Analysis,0.68,726,4.0,Medium,,0.726,0.5793742757821553,0.686868686868687,2.0,0,0,0,0,0.0,Low Risk
INT-100133,2025-06-11 06:22:31.852189,Operations,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Descriptive,0.61,2152,4.0,Low,,2.152,0.31725888324873097,0.6161616161616161,1.0,0,0,1,0,0.2,Low Risk
INT-100134,2025-09-12 03:56:31.852192,Finance,Executive,Which campaign had highest ROI?,Revenue,ROI,Descriptive,0.82,983,3.0,Low,,0.983,0.5042864346949066,0.8282828282828283,1.0,0,0,0,0,0.0,Low Risk
INT-100135,2025-03-24 19:05:31.852195,Finance,Intern,Show monthly revenue trend,Finance,Conversion Rate,Descriptive,0.78,1982,3.0,Medium,,1.982,0.335345405767941,0.787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100136,2025-04-13 08:05:31.852198,HR,Manager,Which campaign had highest ROI?,Revenue,Conversion Rate,Descriptive,0.86,1949,2.0,Medium,,1.949,0.339097999321804,0.8686868686868687,2.0,0,0,0,1,0.1,Low Risk
INT-100137,2025-12-20 04:24:31.852202,Marketing,Executive,Show monthly revenue trend,Customer,Revenue,Trend Analysis,0.66,1266,4.0,Low,,1.266,0.44130626654898497,0.6666666666666667,1.0,0,0,0,0,0.0,Low Risk
